,Info: Tipo,Info: Empresa,Info: Setor,Info: Subsetor,PriceInfo: Cotação,PriceInfo: Data últ cot,PriceInfo: Min 52 sem,PriceInfo: Max 52 sem,PriceInfo: Vol $ méd (2m),MarketValue: Valor de mercado,MarketValue: Valor da firma,MarketValue: Últ balanço processado,MarketValue: Nro Ações,Oscilations: Dia,Oscilations: Mês,Oscilations: 30 dias,Oscilations: 12 meses,Oscilations: 2020,Oscilations: 2019,Oscilations: 2018,Oscilations: 2017,Oscilations: 2016,Oscilations: 2015,,FundamentalIndicators: P/L,FundamentalIndicators: P/VP,FundamentalIndicators: P/EBIT,FundamentalIndicators: PSR,FundamentalIndicators: P/Ativos,FundamentalIndicators: P/Cap Giro,FundamentalIndicators: P/Ativ Circ Liq,FundamentalIndicators: Div Yield,FundamentalIndicators: EV / EBITDA,FundamentalIndicators: EV / EBIT,FundamentalIndicators: Cres Rec (5a),FundamentalIndicators: LPA,FundamentalIndicators: VPA,FundamentalIndicators: Marg Bruta,FundamentalIndicators: Marg EBIT,FundamentalIndicators: Marg Líquida,FundamentalIndicators: EBIT / Ativo,FundamentalIndicators: ROIC,FundamentalIndicators: ROE,FundamentalIndicators: Liquidez Corr,FundamentalIndicators: Div Br/ Patrim,FundamentalIndicators: Giro Ativos,BalanceSheet: Ativo,BalanceSheet: Disponibilidades,BalanceSheet: Ativo Circulante,BalanceSheet: Dív Bruta,BalanceSheet: Dív Líquida,BalanceSheet: Patrim Líq,Demonstrative12M: Receita Líquida,Demonstrative12M: EBIT,Demonstrative12M: Lucro Líquido,Demontrative3M: Receita Líquida,Demontrative3M: EBIT,Demontrative3M: Lucro Líquido,BalanceSheet: Cart de Crédito,BalanceSheet: Depósitos,Demonstrative12M: Result Int Financ,Demonstrative12M: Rec Serviços,Demontrative3M: Result Int Financ,Demontrative3M: Rec Serviços
MOAR3,ON,MONTEIRO ARANHA ON,Holdings Diversificadas,Holdings Diversificadas,16000,24/06/2020,12402,21591,32856,1960160000,1750730000,31/03/2020,12251000,0.00%,23.08%,23.08%,-2.60%,-4.10%,9.88%,22.65%,2.84%,22.01%,26.67%,,-4855,212,-4227,-765688,129,462,3854,5.1%,-3845,-3776,-3.3%,-330,7534,100.0%,18112.1%,15969.5%,-3.1%,-5.0%,-4.4%,295,042,-000,1514500000,592664000,642365000,383234000,-209430000,922997000,-256000,-46367000,-40375000,67000,-9192000,-128741000,,,,,,
RCSL4,PN,RECRUSUL PN,Material de Transporte,Material Rodoviário,205,26/06/2020,082,295,3142930,155437000,155363000,31/03/2020,75823000,5.13%,56.49%,55.30%,72.27%,16.48%,32.33%,-15.29%,-74.72%,-44.35%,-31.74%,,-4762,-228,22926,786,409,-1276,-169,0.0%,14939,22915,172.1%,-004,-090,23.6%,3.4%,-16.5%,1.8%,1.8%,4.8%,054,-000,052,38019000,167000,14188000,93000,-74000,-68040000,19785000,678000,-3264000,4223000,-207000,-1255000,,,,,,
TCNO3,ON,TECNOSOLO S/A ON,Construção e Engenharia,Engenharia Consultiva,255,26/06/2020,092,460,186060,16881000,50343000,31/12/2019,6620000,-3.41%,61.39%,82.14%,171.28%,70.00%,2.74%,-47.10%,76.92%,-38.82%,6.25%,,-4538,2215,-259,-,007,-,-,0.0%,-906,-772,-72.2%,-006,012,-,-,0.0%,-2.8%,-,-48.8%,-,-,-,232726000,7000,39758000,33469000,33462000,762000,0,-6525000,-372000,0,-2320000,-735000,,,,,,
ALPK3,ON NM,ESTAPAR ON NM,Serviços,Serviços Diversos,920,26/06/2020,915,995,3112470,1782690000,3211660000,31/12/2019,193771000,-1.60%,-3.16%,-7.16%,-3.66%,-3.66%,0.00%,0.00%,0.00%,0.00%,0.00%,,-4094,313,849,165,074,-719,-112,0.0%,750,1529,-,-022,294,29.6%,19.4%,-3.9%,8.7%,9.4%,-7.7%,050,272,045,2419990000,120196000,249139000,1549160000,1428970000,569136000,1080680000,210010000,-43540000,0,0,0,,,,,,
ECOR3,ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,1292,26/06/2020,825,1910,62540400,7218390000,13879000000,31/12/2019,558699000,-3.73%,-1.75%,-1.52%,22.70%,-20.74%,73.77%,-17.79%,55.66%,66.97%,-49.94%,,-3892,1585,600,183,063,-429,-082,0.0%,784,1154,7.6%,-033,082,38.0%,30.4%,-4.7%,10.4%,12.8%,-40.7%,058,1906,034,11542500000,2018540000,2327040000,8679110000,6660570000,455351000,3952890000,1202670000,-185460000,1121650000,315091000,76225000,,,,,,
USIM6,PNB N1,USIMINAS PNB N1,Siderurgia e Metalurgia,Siderurgia,950,05/06/2020,697,1144,44,11904300000,15457000000,31/03/2020,1253080000,0.00%,0.00%,0.00%,16.52%,0.98%,27.19%,-16.70%,106.48%,70.75%,-38.74%,,-3838,085,1049,078,044,180,-665,0.6%,724,1362,15.1%,-025,1121,12.4%,7.5%,-0.8%,4.2%,4.9%,-2.2%,326,042,056,26975900000,2373470000,9564920000,5926240000,3552770000,14043700000,15224600000,1134960000,-310159000,3807860000,303669000,-476567000,,,,,,
ANIM3,ON NM,ANIMA ON NM,Diversos,Educacional,2290,26/06/2020,1553,3875,14212400,2544720000,2836940000,31/03/2020,111123000,-6.53%,4.42%,7.01%,20.53%,-23.13%,75.24%,-39.24%,108.81%,0.53%,-57.55%,,-3825,153,1840,206,076,269,-620,0.0%,1057,2052,8.6%,-060,1498,44.5%,11.2%,-5.4%,4.1%,5.8%,-4.0%,381,074,037,3356900000,931894000,1281060000,1224120000,292222000,1665140000,1237950000,138283000,-66534000,338983000,81721000,-18817000,,,,,,
MILS3,ON NM,MILLS ON NM,Construção e Engenharia,Construção Civil,514,26/06/2020,336,1085,10816300,1294800000,1290000000,31/03/2020,251907000,-5.86%,-5.51%,5.98%,-14.19%,-50.81%,144.16%,3.88%,5.37%,46.99%,-71.73%,,-3518,117,-6945,262,088,498,1850,0.0%,851,-6920,-3.0%,-015,439,38.1%,-3.8%,-7.4%,-1.3%,-1.6%,-3.3%,251,022,034,1466280000,247962000,431377000,243161000,-4800990,1104900000,494516000,-18643000,-36800000,126097000,2206000,-1020000,,,,,,
HBOR3,ON,Helbor ON,Construção e Engenharia,Construção Civil,283,26/06/2020,115,496,45289400,1893990000,2765800000,31/03/2020,669255000,-3.41%,55.49%,54.64%,102.14%,-37.80%,201.33%,-22.96%,32.43%,5.71%,-61.33%,,-3185,151,-9043,144,043,087,605,0.0%,-23149,-13205,0.5%,-009,188,13.4%,-1.6%,-4.0%,-0.5%,-0.6%,-4.7%,329,112,030,4380180000,538811000,3112690000,1410620000,871806000,1255410000,1317330000,-20945000,-59470000,258654000,4414000,5445000,,,,,,
USIM3,ON N1,USIMINAS ON N1,Siderurgia e Metalurgia,Siderurgia,767,26/06/2020,444,1135,2344870,9611120000,13163900000,31/03/2020,1253080000,-3.28%,16.39%,45.27%,-25.30%,-21.67%,-12.65%,5.90%,31.24%,106.87%,-69.05%,,-3099,068,847,063,036,145,-537,0.6%,617,1160,15.1%,-025,1121,12.4%,7.5%,-0.8%,4.2%,4.9%,-2.2%,326,042,056,26975900000,2373470000,9564920000,5926240000,3552770000,14043700000,15224600000,1134960000,-310159000,3807860000,303669000,-476567000,,,,,,
USIM5,PNA N1,USIMINAS PNA N1,Siderurgia e Metalurgia,Siderurgia,710,26/06/2020,377,1101,162475000,8896860000,12449600000,31/03/2020,1253080000,-2.61%,15.45%,44.90%,-16.48%,-24.65%,4.74%,1.79%,121.89%,169.80%,-67.40%,,-2868,063,784,058,033,134,-497,0.8%,583,1097,15.1%,-025,1121,12.4%,7.5%,-0.8%,4.2%,4.9%,-2.2%,326,042,056,26975900000,2373470000,9564920000,5926240000,3552770000,14043700000,15224600000,1134960000,-310159000,3807860000,303669000,-476567000,,,,,,
TCNO4,PN,TECNOSOLO S/A PN,Construção e Engenharia,Engenharia Consultiva,145,26/06/2020,081,240,162456,9599000,43061000,31/12/2019,6620000,-4.61%,21.85%,38.10%,59.34%,2.84%,-13.50%,-42.81%,103.57%,-41.67%,60.00%,,-2580,1260,-147,-,004,-,-,0.0%,-775,-660,-72.2%,-006,012,-,-,0.0%,-2.8%,-,-48.8%,-,-,-,232726000,7000,39758000,33469000,33462000,762000,0,-6525000,-372000,0,-2320000,-735000,,,,,,
IDVL4,PN N1,Indusval PN N1,Financeiros,Bancos,324,26/06/2020,225,560,38529,281228000,-,31/12/2019,86798800,0.62%,31.17%,34.44%,-20.98%,-24.65%,1198.31%,-42.74%,-15.83%,36.27%,-57.85%,,-2459,073,-,-,-,-,-,0.0%,-,-,-,-013,443,-,-,0.0%,0.0%,-,-3.0%,-,-,-,2870590000,,,,,384430000,,,-11437000,,,-14618000,144281000,1850210000,7849000,2775000,-7797000,1066000
PETR3,ON,PETROBRAS ON,Petróleo. Gás e Biocombustíveis,Exploração e/ou Refino e Distribuição,2188,26/06/2020,1105,3328,413289000,285414000000,665602000000,31/03/2020,13044500000,-2.19%,4.99%,6.47%,-27.55%,-31.63%,27.74%,51.54%,-0.18%,97.38%,-4.55%,,-2299,123,286,096,029,994,-050,1.8%,404,666,1.1%,-095,1777,42.8%,33.6%,-4.4%,10.3%,11.6%,-5.4%,121,200,031,971645000000,83728000000,163562000000,463916000000,380188000000,231829000000,297715000000,99904000000,-12417000000,75469000000,23881000000,-48523000000,,,,,,
PETR4,PN,PETROBRAS PN,Petróleo. Gás e Biocombustíveis,Exploração e/ou Refino e Distribuição,2084,26/06/2020,1129,3081,1627580000,271847000000,652035000000,31/03/2020,13044500000,-2.93%,2.46%,5.95%,-22.85%,-30.95%,36.87%,45.91%,8.29%,121.32%,-28.15%,,-2189,117,272,091,028,946,-047,3.9%,396,653,1.1%,-095,1777,42.8%,33.6%,-4.4%,10.3%,11.6%,-5.4%,121,200,031,971645000000,83728000000,163562000000,463916000000,380188000000,231829000000,297715000000,99904000000,-12417000000,75469000000,23881000000,-48523000000,,,,,,
GBIO33,DR3,BIOTOSCANA DR3,Saúde,Medicamentos e Outros Produtos,1005,26/06/2020,743,1055,1288090,1071550000,1295970000,31/03/2020,106622000,0.00%,0.80%,0.70%,35.08%,1.11%,19.90%,-59.76%,-24.46%,0.00%,0.00%,,-1822,132,1060,145,076,796,2617,0.0%,1282,1282,-4.9%,-055,761,44.9%,13.7%,-7.9%,7.2%,8.7%,-7.2%,127,034,052,1411270000,52329100,640655000,276749000,224420000,811568000,740623000,101098000,-58821600,146231000,4079260,-52424200,,,,,,
RANI4,PN,CELULOSE IRANI PN,Madeira e Papel,Papel e Celulose,597,26/06/2020,257,1158,95443,995320000,1714570000,31/03/2020,166720000,-3.71%,-7.44%,-10.49%,130.96%,39.11%,49.31%,49.22%,-28.25%,-17.23%,0.93%,,-1802,281,761,110,064,1227,-138,0.2%,686,1310,5.3%,-033,213,30.7%,14.5%,-6.1%,8.4%,9.4%,-15.6%,120,231,058,1563840000,98588000,490402000,817837000,719249000,354473000,904078000,130850000,-55241000,236323000,39102000,17988000,,,,,,
IDVL3,ON N1,Indusval ON N1,Financeiros,Bancos,234,26/06/2020,166,426,193889,203109000,-,31/12/2019,86798800,-3.70%,18.78%,23.16%,-73.94%,-39.85%,-24.02%,21.33%,-11.53%,-15.87%,-49.33%,,-1776,053,-,-,-,-,-,0.0%,-,-,-,-013,443,-,-,0.0%,0.0%,-,-3.0%,-,-,-,2870590000,,,,,384430000,,,-11437000,,,-14618000,144281000,1850210000,7849000,2775000,-7797000,1066000
BIOM3,ON,BIOMM SA ON,Saúde,Medicamentos e Outros Produtos,1700,26/06/2020,698,2365,1892220,1032920000,1150620000,31/03/2020,60760000,0.00%,1.98%,21.34%,156.41%,37.10%,53.28%,-11.29%,48.05%,15.36%,-31.80%,,-1732,767,-2340,6447,283,1594,-917,0.0%,-2726,-2606,1014.4%,-098,222,20.7%,-275.6%,-372.3%,-12.1%,-14.9%,-44.3%,221,136,004,365584000,65311000,118273000,183010000,117699000,134627000,16021000,-44151000,-59654000,8936000,-10084000,-19608000,,,,,,
VVAR3,ON,VIAVAREJO ON,Comércio,Eletrodomésticos,1429,26/06/2020,410,1664,1425390000,22821400000,26397400000,31/03/2020,1597020000,-1.79%,15.24%,23.51%,186.95%,27.93%,154.44%,-44.57%,121.23%,148.61%,-79.55%,,-1656,3560,2402,089,095,-651,-202,0.0%,1417,2779,9.2%,-086,040,29.4%,3.7%,-5.4%,4.0%,6.2%,-215.0%,077,890,107,23939000000,2129000000,11981000000,5705000000,3576000000,641000000,25664000000,950000000,-1378000000,6339000000,562000000,13000000,,,,,,
CRDE3,ON,CR2 ON,Construção e Engenharia,Construção Civil,2199,26/06/2020,1032,2417,58607,53259800,-3554220,31/03/2020,2422000,1.81%,4.76%,-2.05%,112.09%,7.90%,77.44%,-32.60%,5.71%,3.70%,-25.41%,,-1486,040,-1044,873,031,106,124,65.7%,070,070,-19.6%,-148,5465,73.6%,-83.6%,-66.4%,-3.0%,-4.6%,-2.7%,261,-,004,171162000,56814000,81635000,0,-56814000,132373000,6104000,-5100000,-3585000,347000,-2693000,-307000,,,,,,
MGEL4,PN N1,MANGELS PN N1,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,550,26/06/2020,420,1100,32523,31807700,645627000,31/12/2019,5783210,-1.61%,0.18%,-5.01%,-6.78%,-33.81%,57.69%,27.91%,9.87%,31.58%,97.92%,,-1463,-009,054,006,009,023,-006,0.0%,841,1105,6.6%,-038,-6409,16.8%,10.5%,-1.2%,15.9%,19.7%,0.6%,305,-177,152,366686000,42233000,209533000,656052000,613819000,-370634000,556332000,58429000,-2174000,140350000,21516000,4987000,,,,,,
TELB4,PN,TELEBRAS PN,Outros,Outros,3183,26/06/2020,1241,7058,1496110,2160140000,1555170000,31/03/2020,67865000,-5.32%,38.69%,52.81%,20.80%,9.49%,28.63%,2.77%,3.14%,246.10%,-42.96%,,-1455,132,-772,952,050,226,-149,0.0%,-1756,-556,13.4%,-219,2404,-85.2%,-123.4%,-65.5%,-6.5%,-8.3%,-9.1%,458,017,005,4308760000,878109000,1224170000,273135000,-604974000,1631740000,226820000,-279845000,-148504000,63513000,-55563000,-27863000,,,,,,
LOGN3,ON NM,Log-In ON NM,Transporte,Transporte Hidroviário,1487,26/06/2020,1035,2570,19367900,1568620000,2321730000,31/03/2020,105489000,-3.19%,6.59%,10.39%,41.35%,-28.85%,167.95%,155.74%,36.16%,-57.58%,-60.95%,,-1443,769,1652,145,082,319,-184,0.0%,1175,2446,4.1%,-103,193,17.1%,8.8%,-10.0%,4.9%,7.9%,-53.3%,232,655,057,1919760000,581122000,863471000,1334230000,753109000,203852000,1084840000,94937000,-108738000,271339000,18468000,-114652000,,,,,,
MEAL3,ON NM,IMC S/A ON NM,Hoteis e Restaurantes,Restaurante e Similares,392,26/06/2020,244,950,35492600,768006000,1044700000,31/03/2020,195920000,-1.75%,10.11%,28.52%,-49.02%,-53.33%,30.23%,-18.35%,79.95%,22.63%,-38.59%,,-1423,062,-4781,048,028,-217,-074,0.0%,1886,-6504,1.3%,-028,628,30.5%,-1.0%,-3.4%,-0.6%,-0.7%,-4.4%,059,045,058,2782370000,276557000,518725000,553252000,276695000,1230240000,1607510000,-16063000,-53977000,366642000,-38226000,-46138000,,,,,,
RANI3,ON,CELULOSE IRANI ON,Madeira e Papel,Papel e Celulose,455,26/06/2020,253,678,198063,758577000,1477830000,31/03/2020,166720000,-1.09%,35.01%,35.82%,74.26%,14.14%,36.99%,48.22%,-15.45%,-21.02%,-5.75%,,-1373,214,580,084,049,935,-106,0.2%,591,1129,5.3%,-033,213,30.7%,14.5%,-6.1%,8.4%,9.4%,-15.6%,120,231,058,1563840000,98588000,490402000,817837000,719249000,354473000,904078000,130850000,-55241000,236323000,39102000,17988000,,,,,,
BAHI3,ON,BAHEMA ON,Holdings Diversificadas,Holdings Diversificadas,8800,26/06/2020,5850,11600,87485,195304000,179860000,31/03/2020,2219360,-4.01%,26.44%,25.18%,-15.43%,-9.78%,-20.81%,120.66%,112.65%,-1.28%,-34.76%,,-1062,197,-2155,243,047,-746,-077,0.0%,-2404,-1985,155.3%,-829,4460,37.6%,-11.3%,-22.7%,-2.2%,-2.4%,-18.6%,069,025,019,416661000,40233000,58204000,24789000,-15444000,98985000,80448000,-9061000,-18390000,38431000,-636000,-11015000,,,,,,
KLBN3,ON N2,KLABIN ON N2,Madeira e Papel,Papel e Celulose,427,26/06/2020,258,474,2009190,23692100000,44073200000,31/03/2020,5548500000,1.67%,5.43%,8.65%,5.05%,0.34%,1.00%,-10.34%,-14.13%,-27.65%,150.17%,,-1033,821,1198,228,070,263,-129,3.1%,1008,2228,15.8%,-041,052,34.3%,19.1%,-21.5%,5.8%,7.8%,-79.5%,393,956,031,33839200000,7214980000,12108900000,27596100000,20381100000,2885760000,10373200000,1977780000,-2293890000,2591390000,598108000,-3170510000,,,,,,
