,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro Ações,oscilations_Dia,oscilations_Mês,oscilations_30 dias,oscilations_12 meses,oscilations_2020,oscilations_2019,oscilations_2018,oscilations_2017,oscilations_2016,oscilations_2015,,indicator_P/L,indicator_P/VP,indicator_P/EBIT,indicator_PSR,indicator_P/Ativos,indicator_P/Cap Giro,indicator_P/Ativ Circ Liq,indicator_Div Yield,indicator_EV / EBITDA,indicator_EV / EBIT,indicator_Cres Rec (5a),indicator_LPA,indicator_VPA,indicator_Marg Bruta,indicator_Marg EBIT,indicator_Marg Líquida,indicator_EBIT / Ativo,indicator_ROIC,indicator_ROE,indicator_Liquidez Corr,indicator_Div Br/ Patrim,indicator_Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív Bruta,Dív Líquida,Patrim Líq,demonstrative12m_Receita Líquida,demonstrative12m_EBIT,demonstrative12m_Lucro Líquido,demontrative3m_Receita Líquida,demontrative3m_EBIT,demontrative3m_Lucro Líquido,Cart de Crédito,Depósitos,demonstrative12m_Result Int Financ,demonstrative12m_Rec Serviços,demontrative3m_Result Int Financ,demontrative3m_Rec Serviços
CSAB3,ON,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA ON,Previdência e Seguros,Seguradoras,4501,19/06/2020,3921,4683,1093,345677000,-,31/03/2020,7680000,"0,00%","12,53%","12,53%","-3,50%","-3,69%","16,48%","-18,35%","43,01%","-9,00%","96,39%",,000,000,-,-,-,-,-,"6,9%",-,-,-,000,000,-,-,-,"0,0%",-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MWET4,PN,WETZEL SA PN,Material de Transporte,Material Rodoviário,425,30/06/2020,240,750,86416,8746500,81345500,31/03/2020,2058000,"-9,57%","30,37%","30,37%","5,72%","-31,45%","109,46%","10,86%","75,66%","15,15%","164,00%",,-022,-004,-075,005,005,-007,-002,"0,0%",-1121,-693,"8,4%",-1890,-10460,"9,6%","-6,7%","-22,4%","-6,7%","-8,2%","18,1%",025,-035,100,174879000,3562000,41707000,76161000,72599000,-215261000,174063000,-11737000,-38903000,40026000,-1915000,-6932000,,,,,,
DMMO3,ON,DOMMO ON,"Petróleo, Gás e Biocombustíveis",Exploração e/ou Refino e Distribuição,158,30/06/2020,048,1040,17706200,426663000,1095110000,31/03/2020,270040000,"-3,07%","36,21%","36,21%","-55,11%","-46,08%","-70,10%","-5,77%","-53,15%","-62,99%","270,31%",,-088,-049,-658,099,034,-107,-022,"0,0%",78785,-1688,"2,2%",-179,-321,"-0,3%","-15,1%","-112,4%","-5,1%","-5,8%","55,8%",034,-083,034,1265770000,49881000,204784000,718330000,668449000,-865738000,429790000,-64891000,-483148000,106087000,-54437000,-397451000,,,,,,
SPRI3,ON,SPRINGER ON,Utilidades Domésticas,Eletrodomésticos,1252,30/06/2020,650,2750,51660,31663100,31662200,31/03/2020,2529000,"-12,45%","18,11%","18,11%","85,48%","28,15%","35,51%","-24,03%","0,85%","-5,90%","-33,33%",,-939,100390,-726,-,96381,-,-,"0,0%",-731,-726,"-83,5%",-133,001,-,-,"0,0%","-13283,0%",-,"-10686,0%",-,-,-,32852,863,10101,0,-863,31540,0,-4363730,-3370360,0,-1726,-3364,,,,,,
SLED4,PN,EDITORA SARAIVA PN,Mídia,"Jornais, Livros e Revistas",092,30/06/2020,067,240,900466,35830300,429011000,31/03/2020,38946000,"-2,13%","33,33%","33,33%","-34,75%","-57,01%","1,42%","-46,31%","18,37%","-25,06%","-15,62%",,-012,-018,-030,006,005,-130,-005,"0,0%",-1065,-357,"-22,1%",-783,-522,"33,4%","-20,0%","-50,7%","-16,5%","-19,5%","150,0%",088,-202,083,727042000,16797000,202033000,409978000,393181000,-203296000,601578000,-120048000,-304943000,136682000,-17186000,-50732000,,,,,,
CEDO3,ON,CIA DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,1380,30/06/2020,541,1802,87949,138000000,349216000,31/03/2020,10000000,"2,22%","42,56%","42,56%","130,00%","53,33%","32,35%","-38,18%","83,33%","-25,00%","-11,11%",,-1440,086,3977,020,019,-640,-057,"0,0%",1491,10064,"14,5%",-096,1612,"12,3%","0,5%","-0,8%","0,5%","0,6%","-5,9%",094,148,095,740216000,27431000,317102000,238647000,211216000,161177000,702379000,3470000,-9581000,161198000,946000,-11457000,,,,,,
IDVL3,ON N1,Indusval ON N1,Financeiros,Bancos,231,30/06/2020,166,398,207728,200505000,-,31/12/2019,86798800,"-2,12%","17,26%","17,26%","-45,77%","-40,62%","-24,02%","21,33%","-11,53%","-15,87%","-49,33%",,-1753,052,-,-,-,-,-,"0,0%",-,-,-,-013,443,-,-,"0,0%","0,0%",-,"-3,0%",-,-,-,2870590000,,,,,384430000,,,-11437000,,,-14618000,144281000,1850210000,7849000,2775000,-7797000,1066000
MAPT4,PN,CIA MARCOPOLO PN,Outros,Outros,6099,24/06/2020,200,20000,18775,56049800,56049800,31/03/2020,919000,"0,00%","96,81%","96,81%","2697,71%","87,72%","990,27%","-14,86%","75,00%","-20,00%","-39,02%",,-30462,-991,-34599,-,7251,-,-,"0,0%",-34599,-34599,-,-020,-616,-,-,"0,0%","-21,0%",-,"3,3%",-,-,-,773000,0,0,0,0,-5657000,0,-162000,-184000,0,-74000,-80000,,,,,,
RCSL4,PN,RECRUSUL PN,Material de Transporte,Material Rodoviário,215,30/06/2020,082,295,3701430,163019000,162945000,31/03/2020,75823000,"2,87%","64,12%","64,12%","80,67%","22,16%","32,33%","-15,29%","-74,72%","-44,35%","-31,74%",,-4994,-240,24044,824,429,-1339,-177,"0,0%",15668,24033,"172,1%",-004,-090,"23,6%","3,4%","-16,5%","1,8%","1,8%","4,8%",054,-000,052,38019000,167000,14188000,93000,-74000,-68040000,19785000,678000,-3264000,4223000,-207000,-1255000,,,,,,
TEKA3,ON,TEKA SA ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,4050,30/06/2020,651,5200,83249,20371500,490288000,31/03/2020,503000,"15,38%","472,03%","472,03%","307,86%","406,25%","-8,78%","-26,24%","96,53%","-53,46%","-71,74%",,-016,-001,-184,014,002,-001,-001,"0,0%",-7919,-4419,"-0,7%",-25347,-317438,"15,6%","-7,6%","-87,8%","-1,1%","-1,8%","8,0%",002,-029,015,975330000,88000,54891000,470004000,469916000,-1596710000,145141000,-11094000,-127494000,30478000,-1627000,-34310000,,,,,,
PINE4,PN,Pine PN,Financeiros,Bancos,292,30/06/2020,153,490,952942,432621000,-,31/03/2020,148158000,"-0,68%","6,57%","6,57%","21,16%","-30,48%","90,05%","-36,86%","-11,62%","16,47%","-31,73%",,-543,051,-,-,-,-,-,"0,0%",-,-,"-26,0%",-054,568,-,-,"0,0%","0,0%",-,"-9,5%",-,-,-,11330000000,,,,,841823000,,,-79744000,,,-2282000,2462670000,6312290000,-85269000,35151000,39542000,7625000
RNEW3,ON N2,RENOVA ON N2,Energia Elétrica,Energia Elétrica,340,30/06/2020,225,778,176936,141848000,1688980000,31/03/2020,41720000,"-1,45%","38,21%","38,21%","-55,50%","-33,85%","-30,73%","-68,56%","-78,19%","-17,15%","5,15%",,-016,-012,-126,286,006,-005,-004,"0,0%",-1756,-1500,"-33,6%",-2121,-2741,"52,3%","-227,2%","-1785,6%","-4,8%","-5,8%","77,4%",003,-140,002,2343700000,53902000,76833000,1601030000,1547130000,-1143710000,49560000,-112600000,-884938000,12332000,-9760000,-53166000,,,,,,
KLBN3,ON N2,KLABIN ON N2,Madeira e Papel,Papel e Celulose,417,30/06/2020,258,474,2061660,23137200000,43518400000,31/03/2020,5548500000,"1,71%","2,96%","2,96%","4,63%","-2,01%","1,00%","-10,34%","-14,13%","-27,65%","150,17%",,-1009,802,1170,223,068,256,-126,"3,1%",996,2200,"15,8%",-041,052,"34,3%","19,1%","-21,5%","5,8%","7,8%","-79,5%",393,956,031,33839200000,7214980000,12108900000,27596100000,20381100000,2885760000,10373200000,1977780000,-2293890000,2591390000,598108000,-3170510000,,,,,,
PDGR3,ON NM,PDG REALT ON NM,Construção e Engenharia,Construção Civil,500,30/06/2020,278,880,449318,40335000,1626370000,31/03/2020,8067000,"-3,29%","45,77%","45,77%","-28,16%","-32,34%","-33,42%","-51,10%","90,76%","-26,99%","-95,53%",,-005,-001,-059,019,002,-002,-001,"0,0%",-2495,-2376,"-28,6%",-10348,-62461,"14,3%","-31,4%","-385,9%","-3,7%","-4,2%","16,6%",038,-034,012,1861290000,108267000,1439710000,1694300000,1586030000,-5038720000,218005000,-68440000,-834807000,46898000,-4649000,-175016000,,,,,,
NORD3,ON,NORDON INDS METALURGICAS SA ON,Máquinas e Equipamentos,Máqs e Equips Industriais,747,30/06/2020,131,1000,28770,49458900,86562900,31/03/2020,6621000,"11,16%","100,27%","100,27%","549,57%","55,30%","251,10%","-77,13%","0,00%","0,00%","0,00%",,-1648630,-035,-7096,3195,291,-103,-032,"0,0%",-12419,-12419,"116,6%",-000,-2105,"91,9%","-45,0%","-0,2%","-4,1%","-4,2%","0,0%",002,-027,009,17023000,176000,1056000,37280000,37104000,-139342000,1548000,-697000,-3000,447000,27000,-46000,,,,,,
PETR3,ON,PETROBRAS ON,"Petróleo, Gás e Biocombustíveis",Exploração e/ou Refino e Distribuição,2234,30/06/2020,1105,3328,406517000,291414000000,671602000000,31/03/2020,13044500000,"-0,98%","7,20%","7,20%","-24,76%","-30,19%","27,74%","51,54%","-0,18%","97,38%","-4,55%",,-2347,126,292,098,030,1015,-051,"1,8%",408,672,"1,1%",-095,1777,"42,8%","33,6%","-4,4%","10,3%","11,6%","-5,4%",121,200,031,971645000000,83728000000,163562000000,463916000000,380188000000,231829000000,297715000000,99904000000,-12417000000,75469000000,23881000000,-48523000000,,,,,,
CEED3,ON N1,CEEE-D ON N1,Energia Elétrica,Energia Elétrica,8800,22/06/2020,7203,11200,4049,851928000,1827620000,31/03/2020,9681000,"0,00%","0,00%","0,00%","-12,00%","-12,00%","166,67%","25,04%","1,70%","47,45%","-64,29%",,-063,-021,-292,025,021,-025,-012,"0,0%",-1277,-626,"3,1%",-13869,-42301,"0,1%","-8,5%","-39,1%","-7,1%","-8,3%","32,8%",026,-025,083,4130680000,35509000,1184910000,1011200000,975688000,-4095110000,3430470000,-291966000,-1342640000,947197000,6004000,-497637000,,,,,,
MGEL4,PN N1,MANGELS PN N1,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,563,30/06/2020,420,1100,42464,32559500,646378000,31/12/2019,5783210,"0,36%","2,55%","2,55%","-3,76%","-32,25%","57,69%","27,91%","9,87%","31,58%","97,92%",,-1498,-009,056,006,009,023,-006,"0,0%",842,1106,"6,6%",-038,-6409,"16,8%","10,5%","-1,2%","15,9%","19,7%","0,6%",305,-177,152,366686000,42233000,209533000,656052000,613819000,-370634000,556332000,58429000,-2174000,140350000,21516000,4987000,,,,,,
SHOW3,ON NM,TIME FOR FUN ON NM,Viagens e Lazer,Produção de Eventos e Shows,263,30/06/2020,125,675,2362590,177528000,118592000,31/03/2020,67501000,"0,77%","57,49%","57,49%","-50,09%","-57,92%","-14,50%","3,69%","33,27%","81,79%","4,30%",,-353,065,-542,058,027,143,-3549,"0,0%",-847,-362,"-17,6%",-074,408,"14,1%","-10,7%","-16,9%","-5,0%","-8,3%","-18,3%",149,059,047,655446000,222507000,376762000,163571000,-58936000,275141000,305583000,-32738000,-50261000,32493000,-10092000,-13797000,,,,,,
USIM3,ON N1,USIMINAS ON N1,Siderurgia e Metalurgia,Siderurgia,809,30/06/2020,444,1135,2522600,10137400000,13690200000,31/03/2020,1253080000,"5,34%","22,76%","22,76%","-22,26%","-17,38%","-12,65%","5,90%","31,24%","106,87%","-69,05%",,-3268,072,893,067,038,153,-566,"0,6%",641,1206,"15,1%",-025,1121,"12,4%","7,5%","-0,8%","4,2%","4,9%","-2,2%",326,042,056,26975900000,2373470000,9564920000,5926240000,3552770000,14043700000,15224600000,1134960000,-310159000,3807860000,303669000,-476567000,,,,,,
AZEV3,ON,AZEVEDO & TRAVASSOS ON,Construção e Engenharia,Construção Pesada,1398,30/06/2020,250,2200,600112,75492000,109473000,31/12/2019,5400000,"7,54%","257,55%","257,55%","180,72%","108,04%","-85,07%","262,90%","-0,80%","74,83%","-39,92%",,-211,-031,-564,4306,137,-038,-027,"0,0%",-1032,-818,"-68,9%",-663,-4562,"-398,0%","-763,5%","-2041,2%","-24,2%","-52,3%","14,5%",010,-014,003,55305000,46000,21255000,34027000,33981000,-246370000,1753000,-13384000,-35784000,-95847000,92518000,221217000,,,,,,
FRIO3,ON NM,Metalfrio ON NM,Equipamentos Elétricos,Equipamentos Elétricos,10000,29/06/2020,5301,10908,8362,410700000,1153570000,31/03/2020,4107000,"0,00%","88,64%","88,64%","103,46%","63,93%","3,39%","40,48%","62,79%","21,13%","-42,74%",,-448,-2033,568,027,023,4537,-095,"0,0%",957,1596,"10,4%",-2235,-492,"17,8%","4,8%","-5,2%","4,0%","7,7%","454,3%",101,-5690,083,1809940000,406429000,1319020000,1149300000,742867000,-20199000,1495700000,72273000,-91771000,384585000,21959000,-103836000,,,,,,
INEP4,PN,INEPAR S/A PN,Máquinas e Equipamentos,Máqs e Equips Industriais,620,30/06/2020,465,1110,56300,49639000,688359000,30/09/2019,8006280,"-1,74%","8,77%","8,77%","-27,49%","-21,22%","52,82%","80,70%","-4,36%","-17,22%","5,88%",,-012,-003,-017,187,003,-003,-002,"0,0%",-250,-235,"-51,5%",-5359,-21282,"31,1%","-1107,2%","-1399,6%","-20,5%","-22,2%","25,2%",014,-038,002,1429640000,1135000,280702000,639855000,638720000,-1703920000,26505000,-293465000,-429017000,1202000,-58858000,-69562000,,,,,,
MNDL3,ON,MUNDIAL S/A ON,"Tecidos, Vestuário e Calçados",Acessórios,2252,30/06/2020,1910,3700,181160,55849600,237115000,31/03/2020,2480000,"-6,17%","4,26%","4,26%","-33,75%","-35,90%","30,11%","18,47%","117,46%","75,25%","-18,64%",,-445,-038,182,012,005,-009,-006,"0,0%",541,772,"4,2%",-506,-5900,"33,3%","6,4%","-2,6%","2,9%","3,2%","8,6%",029,-128,045,1053370000,5489000,265984000,186754000,181265000,-146315000,476501000,30733000,-12555000,100386000,4429000,-1935000,,,,,,
ECOR3,ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,1297,30/06/2020,825,1910,64683700,7246330000,14117500000,31/03/2020,558699000,"0,08%","-1,37%","-1,37%","20,54%","-20,43%","73,77%","-17,79%","55,66%","66,97%","-49,94%",,-4221,1249,563,179,061,-415,-081,"0,0%",759,1097,"8,0%",-031,104,"39,6%","31,9%","-4,2%","10,9%","13,2%","-29,6%",057,1534,034,11822700000,2026590000,2336230000,8897770000,6871180000,580008000,4041060000,1287380000,-171690000,970026000,371692000,99839000,,,,,,
GSHP3,ON NM,Generalshopp ON NM,Exploração de Imóveis,Exploração de Imóveis,5050,29/06/2020,2592,14400,59697,97402800,1431750000,31/03/2020,1928770,"0,00%","27,88%","27,88%","69,01%","-49,90%","495,75%","14,63%","46,43%","40,00%","-58,33%",,-031,-032,401,083,005,063,-006,"0,0%",5365,5900,"-17,2%",-16451,-15883,"67,9%","20,7%","-270,8%","1,3%","1,7%","103,6%",158,-545,007,1798840000,335693000,420217000,1670040000,1334350000,-306349000,117173000,24268000,-317302000,28345000,8021000,-310720000,,,,,,
SNSY5,PNA,SANSUY SA INDÚSTRIA DE PLÁSTICOS PNA,,,12000,30/06/2020,6600,12500,13862,23160000,113360000,31/03/2020,193000,"8,01%","50,00%","50,00%","86,05%","11,84%","128,35%","84,27%","6,25%","4,35%","-63,49%",,-013,-002,-030,005,006,-013,-002,"0,0%",-189,-145,"5,4%",-92537,-657935,"11,0%","-17,0%","-40,1%","-20,9%","-24,7%","14,1%",052,-008,122,375483000,6119000,188772000,96319000,90200000,-1269810000,459270000,-78293000,-178596000,110126000,-18968000,-44901000,,,,,,
BTOW3,ON,B2W - COMPANHIA GLOBAL DO VAREJO ON,Comércio,Produtos Diversos,10705,30/06/2020,3147,10705,433699000,56011700000,56250900000,31/03/2020,523229000,"0,85%","16,84%","16,84%","231,01%","70,30%","51,36%","104,99%","105,89%","-33,06%","-30,69%",,-19519,995,31376,780,347,1125,-5373,"0,0%",7800,31510,"-6,4%",-055,1076,"29,7%","2,5%","-4,0%","1,1%","2,6%","-5,1%",211,121,045,16129000000,6549580000,9454940000,6788820000,239233000,5631640000,7181660000,178517000,-286959000,1696240000,-18608000,-107963000,,,,,,
JBDU3,ON,J B DUARTE ON,Holdings Diversificadas,Holdings Diversificadas,340,30/06/2020,185,798,71087,17064600,21677600,30/09/2019,5019000,"-1,45%","76,17%","76,17%","-1,45%","3,03%","-66,97%","-71,54%","-42,08%","-89,89%","194,84%",,-145,025,-157,-,009,-,-,"0,0%",-199,-199,-,-235,1356,-,-,"0,0%","-5,7%",-,"-17,3%",-,-,-,191199000,1000,7000,4614000,4613000,68038000,0,-10898000,-11781000,0,0,-292000,,,,,,
EMBR3,ON,EMBRAER ON,Material de Transporte,Material Aeronáutico,809,30/06/2020,619,2050,173437000,5990360000,4381950000,31/03/2020,740465000,"-3,92%","13,15%","13,15%","-58,32%","-59,00%","-8,99%","8,89%","27,14%","-46,72%","21,50%",,-246,036,1222,056,010,056,088,"0,0%",316,894,"-14,9%",-329,2239,"14,8%","4,6%","-22,6%","0,9%","1,0%","-14,7%",130,022,019,57435900000,5201990000,47172600000,3593570000,-1608420000,16580900000,10649000000,490344000,-2432500000,1693230000,205752000,-1276490000,,,,,,
TECN3,ON NM,TECHNOS ON NM,"Tecidos, Vestuário e Calçados",Acessórios,150,30/06/2020,095,407,620715,117759000,202605000,31/03/2020,78506000,"-1,96%","27,12%","27,12%","-31,51%","-58,33%","46,34%","-30,70%","-1,39%","0,84%","-46,56%",,-090,036,-282,040,017,055,491,"0,0%",-375,-485,"-6,6%",-166,416,"33,9%","-14,1%","-44,1%","-6,2%","-7,6%","-39,8%",236,042,044,677825000,52995000,374857000,137841000,84846000,326951000,295167000,-41735000,-130158000,41915000,-14594000,-17435000,,,,,,
LPSB3,ON NM,LOPES BRASIL ON NM,Construção e Engenharia,Intermediação Imobiliária,532,30/06/2020,305,1027,5771180,784991000,641133000,31/03/2020,147555000,"-1,48%","41,49%","41,49%","11,30%","-44,18%","50,79%","13,06%","43,33%","74,11%","-64,16%",,-10228,460,2781,518,205,683,-2066,"0,0%",1312,2271,"-6,2%",-005,116,"84,7%","18,6%","-4,1%","7,4%","12,4%","-4,5%",283,004,040,382392000,149858000,177537000,6000000,-143858000,170629000,151408000,28227000,-7675000,29680000,782000,-8183000,,,,,,
OMGE3,ON NM,OMEGA GER ON NM,Energia Elétrica,Energia Elétrica,3772,30/06/2020,2411,4300,28209400,6417420000,10182600000,31/03/2020,170133000,"6,73%","17,80%","17,80%","57,82%","3,34%","109,17%","0,23%","6,09%","0,00%","0,00%",,-1048600,232,1955,636,083,1090,-163,"0,0%",1890,3102,"70,3%",-000,1624,"36,7%","32,5%","0,5%","4,2%","4,7%","-0,0%",246,162,013,7728470000,709264000,993427000,4474470000,3765200000,2762890000,1009190000,328293000,-612000,192873000,6021000,-52934000,,,,,,
AZEV4,PN,AZEVEDO & TRAVASSOS PN,Construção e Engenharia,Construção Pesada,471,30/06/2020,171,674,931608,25434000,59415000,31/12/2019,5400000,"-5,42%","34,57%","34,57%","137,88%","5,84%","-8,25%","-8,49%","3,92%","-24,44%","-21,51%",,-071,-010,-190,1451,046,-013,-009,"0,0%",-560,-444,"-68,9%",-663,-4562,"-398,0%","-763,5%","-2041,2%","-24,2%","-52,3%","14,5%",010,-014,003,55305000,46000,21255000,34027000,33981000,-246370000,1753000,-13384000,-35784000,-95847000,92518000,221217000,,,,,,
SGPS3,ON NM,Springs ON NM,"Tecidos, Vestuário e Calçados",Fios e Tecidos,708,30/06/2020,387,1524,1254420,354000000,1196370000,31/03/2020,50000000,"4,12%","28,26%","28,26%","-23,38%","-42,39%","78,12%","-36,17%","154,35%","47,06%","24,57%",,-112,029,567,026,011,129,-045,"0,0%",792,1918,"-15,3%",-633,2464,"32,3%","4,5%","-22,9%","1,9%","2,2%","-25,7%",130,084,043,3207870000,191439000,1188430000,1033800000,842366000,1231790000,1384270000,62382000,-316434000,302414000,-767000,-202778000,,,,,,
RANI4,PN,CELULOSE IRANI PN,Madeira e Papel,Papel e Celulose,620,30/06/2020,257,1158,97493,1033670000,1752910000,31/03/2020,166720000,"-0,80%","-3,88%","-3,88%","137,11%","44,47%","49,31%","49,22%","-28,25%","-17,23%","0,93%",,-1871,292,790,114,066,1274,-144,"0,2%",701,1340,"5,3%",-033,213,"30,7%","14,5%","-6,1%","8,4%","9,4%","-15,6%",120,231,058,1563840000,98588000,490402000,817837000,719249000,354473000,904078000,130850000,-55241000,236323000,39102000,17988000,,,,,,
SQIA3,ON,SINQIA ON,Programas e Serviços,Programas e Serviços,1924,30/06/2020,974,2949,16879200,1357360000,1098070000,31/03/2020,70549000,"2,78%","-1,89%","-1,89%","99,38%","-21,47%","287,66%","-4,53%","93,57%","54,75%","11,06%",,-75075,321,242820,733,223,420,701,"0,0%",6207,196436,"24,5%",-003,600,"33,2%","0,3%","-1,0%","0,1%","0,2%","-0,4%",681,019,030,608760000,340917000,379092000,81629000,-259288000,423255000,185235000,559000,-1808000,48622000,-1287000,430000,,,,,,
OSXB3,ON NM,OSX BRASIL ON NM,"Petróleo, Gás e Biocombustíveis",Máquinas e Equipamentos,468,30/06/2020,230,610,56330,14732600,4379710000,31/03/2020,3148000,"-3,51%","48,57%","48,57%","-0,43%","43,12%","-5,22%","-54,96%","-48,93%","0,00%","-40,00%",,-003,-000,-103,141,001,-003,-000,"0,0%",-62496,-30679,"-61,1%",-18033,-149165,"100,0%","-136,6%","-5570,7%","-0,7%","-0,8%","12,1%",003,-093,001,2008770000,1098000,14637000,4366080000,4364980000,-4695710000,10448000,-14276000,-567680000,2632000,-3231000,-245000,,,,,,
BRKM6,PNB N1,BRASKEM PNB N1,Químicos,Petroquímicos,1900,30/06/2020,1800,2900,413,15147200000,41645000000,31/03/2020,797219000,"-0,05%","2,70%","2,70%","-61,37%","-20,83%","-48,75%","6,00%","2,01%","195,23%","66,89%",,-194,-1514,891,029,020,259,-028,"3,2%",765,2451,"3,0%",-980,-125,"11,7%","3,3%","-16,0%","2,2%","3,1%","780,8%",129,-3884,067,77177000000,12347400000,25777700000,38845300000,26497900000,-1000160000,51970200000,1699400000,-7809320000,12624600000,213507000,-3649020000,,,,,,
TCNO3,ON,TECNOSOLO S/A ON,Construção e Engenharia,Engenharia Consultiva,255,30/06/2020,092,460,195992,16881000,50343000,31/12/2019,6620000,"-0,39%","61,39%","61,39%","171,28%","70,00%","2,74%","-47,10%","76,92%","-38,82%","6,25%",,-4538,2215,-259,-,007,-,-,"0,0%",-906,-772,"-72,2%",-006,012,-,-,"0,0%","-2,8%",-,"-48,8%",-,-,-,232726000,7000,39758000,33469000,33462000,762000,0,-6525000,-372000,0,-2320000,-735000,,,,,,
JBDU4,PN,J B DUARTE PN,Holdings Diversificadas,Holdings Diversificadas,157,30/06/2020,110,420,123378,7879830,12492800,30/09/2019,5019000,"-1,88%","27,64%","27,64%","-45,10%","-25,24%","-79,41%","-66,34%","-42,27%","-70,84%","-13,67%",,-067,012,-072,-,004,-,-,"0,0%",-115,-115,-,-235,1356,-,-,"0,0%","-5,7%",-,"-17,3%",-,-,-,191199000,1000,7000,4614000,4613000,68038000,0,-10898000,-11781000,0,0,-292000,,,,,,
ANIM3,ON NM,ANIMA ON NM,Diversos,Educacional,2457,30/06/2020,1553,3875,13195300,2730290000,3022510000,31/03/2020,111123000,"3,98%","12,04%","12,04%","28,57%","-17,52%","75,24%","-39,24%","108,81%","0,53%","-57,55%",,-4104,164,1974,221,081,289,-665,"0,0%",1126,2186,"8,6%",-060,1498,"44,5%","11,2%","-5,4%","4,1%","5,8%","-4,0%",381,074,037,3356900000,931894000,1281060000,1224120000,292222000,1665140000,1237950000,138283000,-66534000,338983000,81721000,-18817000,,,,,,
USIM6,PNB N1,USIMINAS PNB N1,Siderurgia e Metalurgia,Siderurgia,950,05/06/2020,697,1144,46,11904300000,15457000000,31/03/2020,1253080000,"0,00%","0,00%","0,00%","16,52%","0,98%","27,19%","-16,70%","106,48%","70,75%","-38,74%",,-3838,085,1049,078,044,180,-665,"0,6%",724,1362,"15,1%",-025,1121,"12,4%","7,5%","-0,8%","4,2%","4,9%","-2,2%",326,042,056,26975900000,2373470000,9564920000,5926240000,3552770000,14043700000,15224600000,1134960000,-310159000,3807860000,303669000,-476567000,,,,,,
PETR4,PN,PETROBRAS PN,"Petróleo, Gás e Biocombustíveis",Exploração e/ou Refino e Distribuição,2155,30/06/2020,1129,3081,1623340000,281109000000,661297000000,31/03/2020,13044500000,"-0,51%","5,95%","5,95%","-19,48%","-28,60%","36,87%","45,91%","8,29%","121,32%","-28,15%",,-2264,121,281,094,029,979,-049,"3,8%",401,662,"1,1%",-095,1777,"42,8%","33,6%","-4,4%","10,3%","11,6%","-5,4%",121,200,031,971645000000,83728000000,163562000000,463916000000,380188000000,231829000000,297715000000,99904000000,-12417000000,75469000000,23881000000,-48523000000,,,,,,
CTNM3,ON,COTEMINAS ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,1083,30/06/2020,600,1759,87137,331788000,1658000000,31/03/2020,30636000,"6,18%","40,65%","40,65%","14,00%","-3,39%","38,74%","34,67%","80,72%","-4,60%","-30,40%",,-136,036,-2700,018,008,130,-031,"0,0%",1949,-13492,"-11,2%",-794,2979,"30,0%","-0,7%","-21,8%","-0,3%","-0,3%","-26,6%",120,169,043,4246960000,217974000,1532140000,1544190000,1326210000,912647000,1829200000,-12289000,-243190000,414816000,-50413000,-113266000,,,,,,
DASA3,ON,DIAGNOSTICOS DA AMERICA SA ON,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",6650,29/06/2020,2777,8025,6255,31974100000,34894000000,31/03/2020,480814000,"0,00%","2,31%","2,31%","135,28%","16,19%","117,53%","-1,41%","55,91%","75,76%","-0,30%",,-164046,796,12427,667,276,3544,-717,"0,6%",4479,13561,"13,6%",-004,836,"32,8%","5,4%","-0,3%","2,2%","2,6%","-0,5%",141,098,041,11589900000,1000750000,3123540000,3920610000,2919870000,4018650000,4795380000,257305000,-19491000,1456870000,14435000,-78135000,,,,,,
TASA3,ON,TAURUS ARMAS ON,Máquinas e Equipamentos,Armas e Munições,551,30/06/2020,244,622,876500,487569000,1325620000,31/03/2020,88488000,"-5,81%","42,01%","42,01%","62,06%","7,83%","6,68%","180,12%","20,42%","-4,70%","204,08%",,-414,-117,607,047,042,820,-060,"0,0%",1313,1650,"4,7%",-133,-472,"33,6%","7,7%","-11,3%","6,9%","8,3%","28,2%",108,-217,089,1170330000,66548000,772506000,904602000,838054000,-417283000,1045820000,80319000,-117746000,298320000,36186000,-157124000,,,,,,
RNEW4,PN N2,RENOVA PN N2,Energia Elétrica,Energia Elétrica,297,30/06/2020,170,733,216047,123908000,1671040000,31/03/2020,41720000,"1,37%","61,41%","61,41%","-57,45%","-18,85%","-47,64%","-61,80%","815,00%","0,00%","0,00%",,-014,-011,-110,250,005,-004,-004,"0,0%",-1737,-1484,"-33,6%",-2121,-2741,"52,3%","-227,2%","-1785,6%","-4,8%","-5,8%","77,4%",003,-140,002,2343700000,53902000,76833000,1601030000,1547130000,-1143710000,49560000,-112600000,-884938000,12332000,-9760000,-53166000,,,,,,
